 	EN	CN	DE	FR	ES	JP	KO	TC
^sign_platform0339	I heard she joined Jim's science team.	听说她还去了Jim的科学小组。						聽說她還去了Jim的科學小組。
^sign_platform0340	She must have lost her mind!	她一定是脑子里进了水！						她一定是腦子裏進了水！
^sign_platform0341	Did Austin bother you again?	Austin又找你麻烦了？						Austin又找你麻煩了？
^sign_platform0342	He flipped my lunchbox.	他掀翻了我的便当。						他掀翻了我的便當。
^sign_platform0343	Why did he do that?	他为什么要这样做？						他為什麼要這樣做？
^sign_platform0344	I denied his "love".	我拒绝了他的表白。						我拒絕了他的表白。
^sign_platform0345	And he got Betty and others to mess with me.	他还怂恿Betty她们来整我。						他還慫恿Betty她們來整我。
^sign_platform0346	Is there anyone in the world who can give him a lesson?	难道这世界上没有人能管得了他？						難道這世界上沒有人能管得了他？
^sign_platform0347	Maybe I should go to China and study kung fu.	或许我应该去中国学习功夫。						或許我應該去中國學習功夫。
^sign_platform0348	Or I can make a robot that fights for me.	或者做一个能代替我格斗的机器人。						或者做一個能代替我格鬥的機器人。
^sign_platform0349	Haha, you're silly.	哈哈，傻瓜。						哈哈，傻瓜。
^sign_platform0350_01	How is it?	你的伤怎么样了？						你的傷怎麼樣了？
^sign_platform0350_02	It's okay, I've taken some medicine. It's better now.	没关系，我已经涂了药，现在好多了。						沒關系，我已經塗了藥，現在好多了。
^sign_platform0350_03	Nobody will notice it, right?	不会被别人发现吧？						不會被別人發現吧？
^sign_platform0350_04	Not a chance. No one will see it when I cover it with my clothes.	怎么可能，我只要拿衣服一挡，没人看得到。						怎麼可能，我只要拿衣服一擋，沒人看得到。
^sign_platform0350_05	Besides, it’s not going to affect me much. Don't worry!	而且这对我生活也没什么影响，放心吧！						而且這對我生活也沒什麼影響，放心吧！
^sign_platform0350_06	Really...	真的吗……						真的嗎……
^sign_platform0350_07	It won't be a problem, and we’ve got more important things to do than worrying about my injuries.	不会有问题的，和我的伤比起来，我们还有更重要的事情要做。						不會有問題的，和我的傷比起來，我們還有更重要的事情要做。
^sign_platform0350	Let's go through the script one more time, you have to get it word for word!	我们再把刚才的对话练习一遍，你必须把一切都记住在脑海里！						我們再把剛才的對話練習一遍，你必須把一切都記住在腦海裏！
^sign_platform0351	We’ll be doomed if we don’t take care of those things!	否则我们都要完蛋！						否則我們都要完蛋！
^sign_platform0352	Isabelle, I've never been so freaked out. I'm not a great liar…	Isabelle，我从未有这样害怕过，我不会说谎……						Isabelle，我從未有這樣害怕過，我不會說謊……
^sign_platform0353	Cheer up Jim, we're not going to ruin our lives on account of that bastard!	打起精神来Jim，我们不能因为那个混蛋而搭进去我们的一生！						打起精神來Jim，我們不能因為那個混蛋而搭進去我們的一生！
^sign_platform0354	We must rehearse the script again to make sure we are on the same page before the police question us!	在警察问讯之前，我们必须再预演一遍统一口径！						在員警問訊之前，我們必須再預演一遍統一口徑！
^sign_platform0355	Okay.	好。						好。
^sign_platform0356	Where were you the night Austin disappeared?	Austin失踪当晚你在哪里？						Austin失蹤當晚你在哪裏？
^sign_platform0357	I was in the exhibition hall setting up my tech project, the painting AI-robot.	我在展厅布置我的科技作品，AI智能绘画机器人。						我在展廳佈置我的科技作品，AI智能繪畫機器人。
^sign_platform0358	What time did you get there and when did you leave?	你从几点待到几点？						你從幾點待到幾點？
^sign_platform0359	It was 6pm to 8pm. I felt hungry halfway through, so I went out to eat. When I came back I found the hall on fire.	下午6点到晚上8点，中途我觉得饿了，出去吃了饭。回来时发现展厅在着火。						下午6點到晚上8點，中途我覺得餓了，出去吃了飯。回來時發現展廳在著火。
^sign_platform0360	No, don't say too much, otherwise, the police will be asking more questions about the fire. Just simple answers.	不对，不要说这么多，警察的注意会被吸引到火灾上，问什么你就答什么。						不對，不要說這麼多，員警的注意會被吸引到火災上，問什麼你就答什麼。
^sign_platform0361	Let’s try it again, What time did you get there and when did you leave?	重来一次，你从几点待到几点？						重來一次，你從幾點待到幾點？
^sign_platform0362	……	……						……
^sign_platform0363	6:00 pm to a little past 9:00 pm.	下午6点到晚上9点多。						下午6點到晚上9點多。
^sign_platform0364	Good. Did you see anyone or did anything happen during that time?	没错，这期间有没有遇到什么人，或者发生什么事？						沒錯，這期間有沒有遇到什麼人，或者發生什麼事？
^sign_platform0365	I went out to eat halfway through. When I came back, I saw the hall on fire, so I called the fire department.	我中间出去吃饭，回来的时候看到展厅着了火，于是我报了火警。						我中間出去吃飯，回來的時候看到展廳著了火，於是我報了火警。
^sign_platform0366	You did well, Jim. What time was it?	很好，Jim。当时是几点？						很好，Jim。當時是幾點？
^sign_platform0367	9pm.	晚上9点。						晚上9點。
^sign_platform0368	Did you see anyone else at the school that night?	除了你之外当晚还看到其他人去过学校吗？						除了你之外當晚還看到其他人去過學校嗎？
^sign_platform0369	No, I didn’t see anyone there.	没有，我没有见到过任何人。						沒有，我沒有見到過任何人。
^sign_platform0370	Good, that's right, remember all your lines, and remember, don’t mention me or Austin.	是的，没错，记住你所有的台词，千万别提到我或者  Austin。						是的，沒錯，記住你所有的臺詞，千萬別提到我或者  Austin。
^sign_platform0371	I'll tell the cops that Austin and I went out that night, and he took a call halfway through and left at 9:30.	我会告诉警察，当晚我和Austin去约会了，中途他接了一个电话，9点半就走了。						我會告訴員警，當晚我和Austin去約會了，中途他接了一個電話，9點半就走了。
^sign_platform0372	After that, I went home by myself and sent him a message, but he didn't reply.	之后我自己回了家，给他发消息，但是他没回。						之後我自己回了家，給他發消息，但是他沒回。
^sign_platform0373	But wouldn't that make the police suspicious of you?	可是这样警察不就会怀疑你了么？						可是這樣員警不就會懷疑你了麼？
^sign_platform0374	They'll think you're the last person to see Austin.	他们会认为你是最后一个见到Austin的人。						他們會認為你是最後一個見到Austin的人。
^sign_platform0375	Don't worry, they have no evidence.	放心，他们没有证据。						放心，他們沒有證據。
^sign_platform0376	As long as we hold on tight, they won't be able to find anything on us.	只要我们咬住不松口，他们就无法击破我们。						只要我們咬住不鬆口，他們就無法擊破我們。
^sign_platform0377	Do you think the cops will abuse us?	警察会对我们刑讯逼供吧？						員警會對我們刑訊逼供吧？
^sign_platform0378	No matter what happens, we can't tell the truth or we'll be screwed!	不管遇到什么情况，我们都不能说出真相，否则我们都要下地狱！						不管遇到什麼情況，我們都不能說出真相，否則我們都要下地獄！
^sign_platform0379	Jim, be strong!	Jim，勇敢一点！						Jim，勇敢一點！
^sign_platform0380	Okay, I will follow your plan.	好，我听你的。						好，我聽你的。
^sign_platform0381	I went by the school around 8pm last night, and I think I saw Austin's car park outside the school.	我昨晚八点多经过学校，好像看到Austin的车停在学校外。						我昨晚八點多經過學校，好像看到Austin的車停在學校外。
^sign_platform0382	He didn’t set that fire, did he?	展厅着火不会是他干的吧？						展廳著火不會是他幹的吧？
^sign_platform0383	I don't know. I didn't see him.	不知道，我没看到他。						不知道，我沒看到他。
^sign_platform0384	Jim, do you want to beat Austin?	Jim，你想打败Austin吗？						Jim，你想打敗Austin嗎？
^sign_platform0385	？	？						？
^sign_platform0386	Hey, I’m asking you something!	我问你话呢！						我問你話呢！
^sign_platform0387	You're just like him. Looking for an excuse to beat me up?	你和他都是一伙的，难道你是想再找个理由揍我一顿吗？						你和他都是一夥的，難道你是想再找個理由揍我一頓嗎？
^sign_platform0388	Yes, I'm with him, and I’m not.	没错，我和他是一伙的，但又不是。						沒錯，我和他是一夥的，但又不是。
^sign_platform0389	I also want to beat him.	我也想打败他。						我也想打敗他。
^sign_platform0390	But I can't.	但是我不能。						但是我不能。
^sign_platform0391	I have to follow him and do what he says.	我必须听他的，按照他说的做。						我必須聽他的，按照他說的做。
^sign_platform0392	Including bullying me and hitting me with a hockey puck?	包括欺负我，拿曲棍球打我？						包括欺負我，拿曲棍球打我？
^sign_platform0393	Right.	没错。						沒錯。
^sign_platform0394	And I’ll keep doing the same in the future.	而且接下来我还会这样做。						而且接下來我還會這樣做。
^sign_platform0395	Because my dad is Austin's dad's driver.	因为我爸爸是Austin爸爸的司机。						因為我爸爸是Austin爸爸的司機。
^sign_platform0396	With his disabled left leg, it's really hard for him to get a job.	他左腿有残疾，很难找到工作。						他左腿有殘疾，很難找到工作。
^sign_platform0397	Every time I go against Austin's wishes, he threatens to fire my dad.	每当我违背Austin的意愿时，他就会威胁我要解雇我爸爸。						每當我違背Austin的意願時，他就會威脅我要解雇我爸爸。
^sign_platform0398	So what… what do you want me to do?	所以呢……你希望我怎么做？						所以呢……你希望我怎麼做？
^sign_platform0399	Maybe you could try running for Student Council President.	或许你可以试试竞选学生会长。						或許你可以試試競選學生會長。
^sign_platform03100	I know you've got a great mind for tech, so why not use the technology competition to get a little recognition!	我知道你的科技头脑很厉害，不如借助科技作品大赛，让大家都认同你！						我知道你的科技頭腦很厲害，不如借助科技作品大賽，讓大家都認同你！
^sign_platform03101	Is that OK?	这样可以么？						這樣可以麼？
^sign_platform03102	Austin's gonna get back at me twice as hard!	Austin一定会加倍报复我！						Austin一定會加倍報複我！
^sign_platform03103	Do you really think you won’t get bullied if you don't do this?	你以为不做这些你就会不受欺负了吗？						你以為不做這些你就會不受欺負了嗎？
^sign_platform03104	If you succeed in running for Student Council President, maybe everything will be different! You can bring everyone together to stand against bullying!	如果你竞选学生会长成功，或许一切都不一样了！你可以联合所有人反对霸凌！						如果你競選學生會長成功，或許一切都不一樣了！你可以聯合所有人反對霸淩！
^sign_platform03105	……	……						……
^sign_platform03106	Let me think about it.	我想想。						我想想。
^sign_platform0310601	Dad, could you buy that copy of science journal for me? The one I talked about last time.	爸，上次说的科学杂志期刊，可以买给我吗？						爸，上次說的科學雜志期刊，可以買給我嗎？
^sign_platform0310602	My exam ranking is 3 spots better than last time.	我考试进步了3名。						我考試進步了3名。
^sign_platform0310603	Jim, I'm in a meeting. We'll talk about it later. Just focus on your studies.	Jim，我还在开会。晚点我们再讨论这个，你好好上课。						Jim，我還在開會。晚點我們再討論這個，你好好上課。
^sign_platform0310604	Dad, I want to join the school's science contest and make an AI-powered robot.	爸，我要参加一个科技作品大赛，我想做个AI机器人。						爸，我要參加一個科技作品大賽，我想做個AI機器人。
^sign_platform0310605	I need that edition of Science magazine to figure out how to do it.	上次说的科学杂志，我想买来研究一下。						上次說的科學雜志，我想買來研究一下。
^sign_platform0310606	That's enough fantasizing.	别总是做白日梦。						別總是做白日夢。
^sign_platform0310607	I don’t think you can actually make it work at your current level.	以你目前的水平是不可能做出来的。						以你目前的水準是不可能做出來的。
^sign_platform0310608	You ought to start working on a more realistic project.	你还是搞点切合实际的项目比较好。						你還是搞點切合實際的項目比較好。
^sign_platform0310609	Mom, are you busy?	妈，你在忙吗？						媽，你在忙嗎？
^sign_platform0310610	Yes, Jim. You know, I'm on a business trip today and I'm about to board soon.	是的Jim，你知道的，我今天出差，马上要登机了。						是的Jim，你知道的，我今天出差，馬上要登機了。
^sign_platform0310611	Well, I’ve got to go.	好了不说了。						好了不說了。
^sign_platform0310612	Study hard, Jim.	你好好上课。						你好好上課。
^sign_platform0310613	… All right.	……好吧。						……好吧。
^sign_platform03107	Party at my house tonight, you in?	今晚来我家参加派对吧！						今晚來我家參加派對吧！
^sign_platform03108	Andy and Calvin will be there too!	Andys和 Calvin也都会来！						Andys和 Calvin也都會來！
^sign_platform03109	Address: 307 Notting Street	地址：诺丁街307号						地址：諾丁街307號
^sign_platform03110	Ah, I really wish I could, but I’ve got something to do today.	啊，我很想去，不过我今天有事。						啊，我很想去，不過我今天有事。
^sign_platform03111	Andy and Calvin live pretty close to you, don't they?	Andys和 Calvin和你住的很近吧？						Andys和 Calvin和你住的很近吧？
^sign_platform03112	Yes, and George, we are all neighbors.	是的，还有George，我们都是邻居。						是的，還有George，我們都是鄰居。
^sign_platform03113	George lives in the 4th house south of Andy's, and Andy lives in the 9th house north of Calvin, and Calvin's place is the last one on that street.	George住在Andys南边的第4家，Andys住Calvin北边的第9家，Calvin是那条街上的最后一家。						George住在Andys南邊的第4家，Andys住Calvin北邊的第9家，Calvin是那條街上的最後一家。
^sign_platform03114	I live in the middle, the 3rd house north of Calvin's.	我住在他们中间，是Calvin北边的第3家。						我住在他們中間，是Calvin北邊的第3家。
^sign_platform03115_01	God, that’s like a tongue twister!	天哪，你简直像在说绕口令！						天哪，你簡直像在說繞口令！
^sign_platform03115_02	Haha, I bet you could figure out where each of us lives just by doing the math now.	我们每一家的门牌号是多少你就猜到了吧						我們每一家的門牌號是多少你就猜到了吧
^sign_platform03116	Well, anyway, I really don't have time tonight. I promised Jim I'd help him with his tech project.	好吧，不管怎么说，我晚上没有时间，我已经答应了Jim要帮他做科技作品。						好吧，不管怎麼說，我晚上沒有時間，我已經答應了Jim要幫他做科技作品。
^sign_platform03117	Wow, that painting robot?	哇哦，那个会绘画的机器人？						哇哦，那個會繪畫的機器人？
^sign_platform03118	Yes!	是的！						是的！
^sign_platform03119	It's freaking cool! I'm looking forward to seeing it in action!	好炫酷！期待你们的作品！						好炫酷！期待你們的作品！
^sign_platform03120	Thanks!	谢谢！						謝謝！
^sign_platform03121	I just realized something…	我发现了一件事……						我發現了一件事……
^sign_platform03122	Damn! You woke me up!	真烦，我在睡觉呢，你把我吵醒了！						真煩，我在睡覺呢，你把我吵醒了！
^sign_platform03123	Uh.... sorry. But I think I should tell you.	呃……抱歉。不过我还是想和你说一下。						呃……抱歉。不過我還是想和你說一下。
^sign_platform03124	What? You better make it quick!	有屁快放，到底什么事？						有屁快放，到底什麼事？
^sign_platform03125	That Cyclops around school, I've always felt he looked familiar, and today I suddenly remembered who he was.	学校里那个独眼瞎子，我一直看他觉得眼熟，今天我忽然想起来他是谁了。						學校裏那個獨眼瞎子，我一直看他覺得眼熟，今天我忽然想起來他是誰了。
^sign_platform03126	？？？	？？？						？？？
^sign_platform03127	Ray Durant。	Ray Durant。						Ray Durant。
^sign_platform03127-1	Mr. Durant	Durant先生						Durant先生
^sign_platform03128	Well, I don’t, so who the hell is he?	我记不起来了，到底是谁？						我記不起來了，到底是誰？
^sign_platform03129	……	……						……
^sign_platform03130	Remember, a year ago, we roughed him up a bit?	你忘了吗，一年前，我们一起欺负过他。						你忘了嗎，一年前，我們一起欺負過他。
^sign_platform03131	How should I remember him when I can't even remember his face? Besides, I don't have time to remember losers like that.	连正脸都没有，我哪能都想起来。这种废物，我没必要记住他们。						連正臉都沒有，我哪能都想起來。這種廢物，我沒必要記住他們。
^sign_platform03132	After we had buried him in the dirt at the back of the school with only his head above ground, you kicked him in the face before we left and he kept screaming… I think that's when he lost his eye.	他会变成独眼，是因为我们把他埋在学校后山的土里，只有头在土外面，临走之前你踢了他脸一脚，他一直惨叫……						他會變成獨眼，是因為我們把他埋在學校後山的土裏，只有頭在土外面，臨走之前你踢了他臉一腳，他一直慘叫……
^sign_platform03133	Oh, right, I think I remember something along those lines.	你这么一说我好像有点印象。						你這麼一說我好像有點印象。
^sign_platform03134	I totally forgot about him after we had left. Two days later, his dad came to school looking for him, that was when we realized it. His eye was bleeding when we found him. The kick must have been right in his eye, that’s why he's missing an eye.	后来我们去玩了，忘了这事，两天后他爸找到学校，我们才想起来，等找到他时发现他眼睛一直流血，当时你那一脚正巧踹在他眼上，把他踹瞎了。						後來我們去玩了，忘了這事，兩天後他爸找到學校，我們才想起來，等找到他時發現他眼睛一直流血，當時你那一腳正巧踹在他眼上，把他踹瞎了。
^sign_platform03135	I remember his dad slapped you in the face.	他爸爸为此打了你一个耳光。						他爸爸為此打了你一個耳光。
^sign_platform03136	Now I remember! It is him!	我想起来了！原来是他！						我想起來了！原來是他！
^sign_platform03137	Didn't my dad put his old man in jail?	我不是让我爸把那个死老头关进监狱了么？						我不是讓我爸把那個死老頭關進監獄了麼？
^sign_platform03138	Yes, Ray's mother passed a long time ago, and he went crazy after his dad ended up in jail. I guess that's why he's become what he is now, always hiding in a classroom, only coming out for food.	没错，Ray的母亲早就去世了，他爸爸进了监狱之后他就疯了，后来就成了我们看到的这个样子，经常躲在学校不知道哪个教室里，饿了就出来找吃的。						沒錯，Ray的母親早就去世了，他爸爸進了監獄之後他就瘋了，後來就成了我們看到的這個樣子，經常躲在學校不知道哪個教室裏，餓了就出來找吃的。
^sign_platform03139	Hahaha, that's funny. Next time I see him, I'll pull him out of his hiding place and beat him up, then bury him in the ground again!	哈哈哈，真有意思。下次再让我看到他，就把他揪出来揍一顿，再埋土里！						哈哈哈，真有意思。下次再讓我看到他，就把他揪出來揍一頓，再埋土裏！
^sign_platform03140	Is Jim still working on that inflatable robot?	Jim还在忙活他那个充气娃娃机器人？						Jim還在忙活他那個充氣娃娃機器人？
^sign_platform03141	Yeah.	是的。						是的。
^sign_platform03142	He's probably going to be pretty popular now.	不过他现在可能要出名了。						不過他現在可能要出名了。
^sign_platform03143	Why is that?	怎么了？						怎麼了？
^sign_platform03144	Did you check the campus website? The painting AI-robot he made looks pretty awesome.	你没看校园网吗？他做的会绘画的智慧AI机器人看上去很厉害的样子。						你沒看校園網嗎？他做的會繪畫的智慧AI機器人看上去很厲害的樣子。
^sign_platform03145	His project is now in the first place, passing yours.	现在他的作品热度已经排在第一名，超过你了。						現在他的作品熱度已經排在第一名，超過你了。
^sign_platform03146	A lot of people are blowing up his prohect on the forum.	贴吧里很多人都在吹他的作品。						貼吧裏很多人都在吹他的作品。
^sign_platform03147	Do you think he's got a chance?	你觉得他有竞争力吗？						你覺得他有競爭力嗎？
^sign_platform03148	Well... just looking at the tech projects, it's more fascinating than your volcanic eruption experiment.	呃……就科技作品来说，确实比你的火山爆发实验更吸引人。						呃……就科技作品來說，確實比你的火山爆發實驗更吸引人。
^sign_platform03149	Damn it, he must have copied someone else's work.	该死的，他一定是抄袭了别人作品。						該死的，他一定是抄襲了別人作品。
^sign_platform03150	How could an idiot like his make something like that!	他那样的猪脑子怎么会做出这种东西！						他那樣的豬腦子怎麼會做出這種東西！
^sign_platform03151	The truth is he did make it...	事实上他确实做出来了……						事實上他確實做出來了……
^sign_platform03152	Oh, really?	呵呵，是么？						呵呵，是麼？
^sign_platform03153	Then it'll have to be destroyed.	那就应该毁掉。						那就應該毀掉。
^sign_platform03154	What?	啊？						啊？
^sign_platform03155	Go get me a bucket of gasoline from your dad's place.	去你爸那里，给我拿一桶汽油。						去你爸那裏，給我拿一桶汽油。
^sign_platform03156	Uh... what are you planning?	呃……你想干什么？						呃……你想幹什麼？
^sign_platform03157	Cut the crap, you've done this before!	别废话，这种事你又不是没干过！						別廢話，這種事你又不是沒幹過！
^sign_platform03158	My dad almost killed me after the mess we made last time! Give me a break…  can't you go buy some at the gas station?	那次闹出了那么大的事，我爸差点打死我！放过我吧……你可以去加油站买不是吗？						那次鬧出了那麼大的事，我爸差點打死我！放過我吧……你可以去加油站買不是嗎？
^sign_platform03159	You piece of crap! Didn't I take care of everything last time?	你这个废物！上次的事情不也摆平了？						你這個廢物！上次的事情不也擺平了？
^sign_platform03160	Stop wasting my time. If you don't want your dad to get fired, you'll do as I say!	别在这浪费时间，如果不想你爸爸被解雇就乖乖照我说的做！						別在這浪費時間，如果不想你爸爸被解雇就乖乖照我說的做！
^sign_platform03161	You should know, my dad can get a new driver at any time. One word from me and your dad will lose his job right away!	你应该知道，我爸可不缺司机，我只要一句话你爸就会立马丢掉饭碗！						你應該知道，我爸可不缺司機，我只要一句話你爸就會立馬丟掉飯碗！
^sign_platform03162	So you'd better not mess with me and just do what I say.	所以你最好别惹我，乖乖照我说的做。						所以你最好別惹我，乖乖照我說的做。
^sign_platform03163	Fine, just, don’t be too impulsive...	你还是别太冲动……						你還是別太沖動……
^sign_platform03164	I just want to teach him a lesson. Go get it now, and I'll see you at the school gate.	我只不过要给他点小教训。你赶快回去拿，一会校门口见。						我只不過要給他點小教訓。你趕快回去拿，一會校門口見。
^sign_platform03165	Do you remember, we used to bully him a lot? You once tied him up out in the snow, poured cold water, and then hot water on him. He couldn’t stop crying, yelling for mommy...	记得吗？我们经常欺负他，你还在冬天把他绑起来，先泼了冷水，又泼了热水，他一直哭着喊妈妈……						記得嗎？我們經常欺負他，你還在冬天把他綁起來，先潑了冷水，又潑了熱水，他一直哭著喊媽媽……
^sign_platform03166	You're fearless!	你可真大胆！						你可真大膽！
^sign_platform03167	？？？	？？？						？？？
^sign_platform03168	I can't believe you turned down Austin! I told you about Ann, didn't I?	你居然拒绝了Austin！我警告过你Ann的事吧？						你居然拒絕了Austin！我警告過你Ann的事吧？
^sign_platform03169	I'm not afraid of him. All he can do is get those girls to mess with me. I won't give in to someone like that.	我不怕他，他最多就是鼓动那些女生对我恶作剧，我不会对这样的人屈服的。						我不怕他，他最多就是鼓動那些女生對我惡作劇，我不會對這樣的人屈服的。
^sign_platform03170	You can't imagine how bad he is.	你想象不到他有多坏。						你想像不到他有多壞。
^sign_platform03171	You don't get to say that, what you guys do is a team effort.	你可没资格这样说，你和他都是一伙的！						你可沒資格這樣說，你和他都是一夥的！
^sign_platform03172	Personally, I didn't want to do all that bad stuff! I have no choice!	我才不想做那种事！我是迫不得已的！						我才不想做那種事！我是迫不得已的！
^sign_platform03173	You've got to believe me!	你要相信我！						你要相信我！
^sign_platform03174	Julia Ann, the girl who rejected Austin last time, he burned her face with gasoline during School Day!	上一个拒绝Austin的女孩，她叫Julia Ann，在校庆那天，被Austin泼汽油烧毁容了！						上一個拒絕Austin的女孩，她叫Julia Ann，在校慶那天，被Austin潑汽油燒毀容了！
^sign_platform03175	If you don’t believe me, then check this out: www.breakingnews.com/675Jkw2	这是之前的报导：www.breakingnews.com/675Jkw2						這是之前的報導：www.breakingnews.com/675Jkw2
^sign_platform03176	……	……						……
^sign_platform03177	Oh my god! Is this real? Why hasn't he been arrested?	这都是真的吗？为什么他没有被抓起来？！						這都是真的嗎？為什麼他沒有被抓起來？！
^sign_platform03178	His father is no ordinary man. He can have almost anything dealt with using his money and influence.	他父亲可不是一般的身份，一切都靠钱与权力摆平了。						他父親可不是一般的身份，一切都靠錢與權力擺平了。
^sign_platform03179	Ann's family has moved to another city, but the severe burns on her face and body are not likely to heal.	现在Ann全家搬到了别的城市，但是她的脸和身上重度烧伤已经不可能好了。						現在Ann全家搬到了別的城市，但是她的臉和身上重度燒傷已經不可能好了。
^sign_platform03180	Doesn't her family want justice?	难道他的家人不追究吗？						難道他的家人不追究嗎？
^sign_platform03181	You're so naive.	你真的太天真了。						你真的太天真了。
^sign_platform03182	With that kind of power, his dad can have whatever he wants.	以他父亲的权势，可以操纵一切。						以他父親的權勢，可以操縱一切。
^sign_platform03183	Just be extra careful these days. I'm worried he'll get back at you.	你最近小心点吧，我恐怕他会报复你。						你最近小心點吧，我恐怕他會報複你。
^sign_platform03184	Okay, I will.	好的，我会小心的。						好的，我會小心的。
^sign_platform03185	Isabella, I want to ask you something.	Isabelle，我想问你一件事。						Isabelle，我想問你一件事。
^sign_platform03186	？	？						？
^sign_platform03187	Is Austin dead?	Austin是不是死了？						Austin是不是死了？
^sign_platform03188	I have no idea what you're talking about.	我不知道你在说什么						我不知道你在說什麼
^sign_platform03189	Don't you dare make guesses, I went home after our date that day.	你不要妄加揣测了，那天我们约会完了我就回家了。						你不要妄加揣測了，那天我們約會完了我就回家了。
^sign_platform03190	You know what?	你知道吗？						你知道嗎？
^sign_platform03191	I'm reading a book, "The Concealment"	我在看一本书，《瞒天过海》。						我在看一本書，《瞞天過海》。
^sign_platform03192	I noticed it in your desk drawer.	从你的课桌抽屉里看到的。						從你的課桌抽屜裏看到的。
^sign_platform03193	It's about two murderers who fabricate a completely non-existent timeline and stitch it into what really happened.	讲的是，两个杀人犯，伪造了完全不存在的时间线，和真实发生过的事情拼凑在一起。						講的是，兩個殺人犯，偽造了完全不存在的時間線，和真實發生過的事情拼湊在一起。
^sign_platform03194	A convoluted story.	混淆视听的故事。						混淆視聽的故事。
^sign_platform03195	You've got to know I'm on your side, and I won’t turn any of you in.	我和你们是站在一边的，我不会揭发你们任何人。						我和你們是站在一邊的，我不會揭發你們任何人。
^sign_platform03196	Actually, I've even gathered proof of the bad stuff that Austin did.	甚至，我还收集了关于Austin曾经作恶的证据。						甚至，我還收集了關於Austin曾經作惡的證據。
^sign_platform03197	https://www.Twodrive.com/George/65H3js4	https://www.Twodrive.com/George/65H3js4						https://www.Twodrive.com/George/65H3js4
^sign_platform03198	If you guys are found out, I will let the whole world know how evil he truly is.	如果一旦你们被发现了，我会把他的作恶公开。						如果一旦你們被發現了，我會把他的作惡公開。
^sign_platform03199	Maybe the internet's opinion can influence how it all ends up.	或许到时候利用网络舆论，会将事情的结局改变。						或許到時候利用網絡輿論，會將事情的結局改變。
^sign_platform03200	That’s enough "ifs"! I didn't kill him, and neither did Jim. Austin is just missing!	你不要妄加揣测了，我没有杀他，Jim也没有，他只是失踪了而已！						你不要妄加揣測了，我沒有殺他，Jim也沒有，他只是失蹤了而已！
^txt_nickname0311	Guest5485231	匿名访客5485231						匿名訪客5485231
^txt_nickname0312	Guest4159716	匿名访客4159716						匿名訪客4159716
^txt_nickname0313	Guest1579232	匿名访客1579232						匿名訪客1579232
^txt_nickname0314	Guest6411644	匿名访客6411644						匿名訪客6411644
^txt_nickname0315	Guest1556844	匿名访客1556844						匿名訪客1556844
^txt_sign0386	No need to be embarrassed, alright? You really think you can compete with Austin?	别丢人了好么？就你也配和Austin竞争！						別丟人了好麼？就你也配和Austin競爭！
^txt_sign0387	I can only support you on the down-low. I truly hope you get elected, maybe I won’t get bullied after that… you're really brave.	我只能匿名支持你，我希望你能当选，或许我也会不再受欺负……你很勇敢。						我只能匿名支持你，我希望你能當選，或許我也會不再受欺負……你很勇敢。
^txt_sign0388	Thank you. I need your vote.	谢谢，请给我投票。						謝謝，請給我投票。
^txt_sign0389	You've got my support. Go for it.	我会支持你。加油。						我會支持你。加油。
^txt_sign0390	Don't fantasize about it, okay? Have you ever seen an idiot elected president?	别做白日梦了好吗？你见过白痴当选总统吗？						別做白日夢了好嗎？你見過白癡當選總統嗎？
^txt_sign0391	True true, who's it going to be? What, that guy who's always Bwittering?	是的，比如那个成天发Bwitter的家伙						是的，比如那個成天發Bwitter的家夥
^txt_sign0392	You send these things, not afraid of being Austin to see it?	你发这些东西，不怕被Austin看到吗？						你發這些東西，不怕被Austin看到嗎？
^txt_sign0393	Don't worry, how come the "noble" Austin will pay attention to my Toothbook	放心吧，“高贵”的Austin怎么会来关注我的Toothbook呢						放心吧，“高貴”的Austin怎麼會來關注我的Toothbook呢
^highlight0310	You really think you can compete with Austin?	就你也配和Austin竞争						就你也配和Austin競爭
^highlight0311	I can only support you on the down-low	我只能匿名支持你，我希望你能当选						我只能匿名支持你，我希望你能當選
^emailtitle_event0302	Please watch out for campus fire.	请注意校园火灾						請注意校園火災
^emailtitle_event0303	Against Austin running for Student Council President!	Mackie校长，我反对Austin再次竞选学生会长！						Mackie校長，我反對Austin再次競選學生會長！
^emailtitle_event0304	Re: Against Austin running for Student Council President!	回复：Mackie校长，我反对Austin再次竞选学生会长！						回複：Mackie校長，我反對Austin再次競選學生會長！
^email0306_01	Dear Principal Cousy,\n	        尊敬的Mackie校长\n						        尊敬的Mackie校長\n
^email0306_02	Hi, please be on the lookout for a possible fire. (This is not a prank.)	        您好，请注意最近有可能发生火灾。（这并不是我的恶作剧）						        您好，請注意最近有可能發生火災。（這並不是我的惡作劇）
^email0306_02_1	\n	\n						\n
^email0306_03	George Rogers	        George Rogers.						        George Rogers.
^email0307_01	Dear Principal Cousy\n	        Mackie校长\n						        Mackie校長\n
^email0307_02	Hi, I'm Isabelle Auteuil, the new transfer student.	        您好，我是Isabelle Auteuil，新来的转校生。						        您好，我是Isabelle Auteuil，新來的轉校生。
